DQ_Run_ID,Table_Name,Rule_Name,Severity,Issue_Count,Load_Timestamp
1,dim_student_profile,Duplicate Keys,Low,1,2024-07-04
2,dim_time,Outlier Detection,High,2,2024-06-10
3,dim_institution,Referential Integrity,Low,2,2024-07-17
4,dim_time,Referential Integrity,Low,9,2024-10-05
5,dim_time,Outlier Detection,Low,1,2024-02-02
6,fact_enrolment_hea,Outlier Detection,Medium,3,2024-01-19
7,dim_institution,Outlier Detection,Low,4,2024-04-30
8,dim_institution,Invalid Domain,Low,3,2024-03-09
9,dim_institution,Referential Integrity,Low,2,2024-10-19
10,dim_time,Referential Integrity,Low,6,2024-08-02
11,dim_student_profile,Invalid Domain,High,2,2024-05-02
12,dim_institution,Outlier Detection,High,7,2024-10-06
13,dim_time,Duplicate Keys,Medium,10,2024-02-23
14,fact_enrolment_hea,Outlier Detection,Low,1,2024-01-21
15,dim_student_profile,Outlier Detection,High,2,2024-04-06
16,fact_enrolment_hea,Invalid Domain,Low,4,2024-12-11
17,dim_student_profile,Referential Integrity,Low,4,2024-05-17
18,dim_time,Outlier Detection,High,8,2024-02-11
19,fact_student_term,Referential Integrity,Medium,6,2024-09-02
20,dim_student_profile,Missing Values,Medium,2,2024-01-28
21,fact_enrolment_hea,Referential Integrity,Medium,6,2024-02-27
22,dim_time,Duplicate Keys,Low,8,2024-05-06
23,dim_student_profile,Duplicate Keys,Low,8,2024-09-19
24,fact_student_term,Outlier Detection,Medium,2,2024-05-23
25,fact_student_term,Referential Integrity,Low,5,2024-04-02
26,dim_institution,Outlier Detection,Low,4,2024-02-04
27,dim_institution,Invalid Domain,Medium,3,2024-04-01
28,fact_enrolment_hea,Duplicate Keys,Medium,8,2024-09-19
29,dim_student_profile,Outlier Detection,Low,3,2024-01-14
30,dim_student_profile,Invalid Domain,Medium,7,2024-11-10
31,dim_institution,Outlier Detection,Medium,2,2024-11-13
32,dim_student_profile,Referential Integrity,Medium,1,2024-07-20
33,dim_student_profile,Referential Integrity,Low,5,2024-11-17
34,fact_student_term,Referential Integrity,Low,4,2024-10-04
35,dim_institution,Referential Integrity,Low,4,2024-05-23
36,dim_time,Missing Values,Low,4,2024-12-20
37,dim_institution,Invalid Domain,Low,3,2024-10-25
38,dim_time,Invalid Domain,Low,0,2024-12-18
39,fact_student_term,Referential Integrity,Low,2,2024-12-19
40,fact_enrolment_hea,Missing Values,High,3,2024-09-01
41,dim_student_profile,Referential Integrity,Low,4,2024-01-12
42,fact_student_term,Missing Values,Medium,2,2024-03-11
43,dim_student_profile,Referential Integrity,Medium,6,2024-07-02
44,fact_enrolment_hea,Duplicate Keys,Low,5,2024-04-13
45,fact_enrolment_hea,Duplicate Keys,High,1,2024-01-11
46,fact_student_term,Outlier Detection,Medium,8,2024-07-26
47,fact_enrolment_hea,Referential Integrity,Low,6,2024-08-12
48,dim_time,Invalid Domain,Medium,1,2024-11-12
49,fact_enrolment_hea,Outlier Detection,Low,9,2024-09-29
50,dim_student_profile,Duplicate Keys,Medium,3,2024-02-23
51,dim_student_profile,Referential Integrity,Low,9,2024-06-21
52,dim_student_profile,Outlier Detection,Medium,4,2024-09-03
53,dim_student_profile,Referential Integrity,Low,3,2024-06-01
54,dim_time,Duplicate Keys,Medium,7,2024-04-15
55,dim_institution,Outlier Detection,Low,5,2024-06-07
56,fact_student_term,Duplicate Keys,Medium,6,2024-04-15
57,dim_student_profile,Missing Values,Medium,3,2024-07-11
58,fact_enrolment_hea,Duplicate Keys,Low,7,2024-10-21
59,dim_student_profile,Referential Integrity,Medium,5,2024-10-02
60,fact_enrolment_hea,Invalid Domain,Low,8,2024-03-13
61,fact_enrolment_hea,Duplicate Keys,High,7,2024-02-12
62,dim_student_profile,Invalid Domain,Low,3,2024-07-12
63,dim_time,Missing Values,Medium,5,2024-05-08
64,fact_enrolment_hea,Outlier Detection,Medium,9,2024-11-06
65,fact_enrolment_hea,Outlier Detection,Low,5,2024-04-17
66,dim_student_profile,Invalid Domain,Low,6,2024-04-12
67,fact_enrolment_hea,Outlier Detection,Low,4,2024-05-12
68,fact_enrolment_hea,Duplicate Keys,Medium,6,2024-09-06
69,dim_student_profile,Invalid Domain,Low,6,2024-09-26
70,dim_student_profile,Referential Integrity,Low,5,2024-04-12
71,fact_student_term,Duplicate Keys,Medium,6,2024-10-22
72,dim_time,Duplicate Keys,Low,4,2024-08-25
73,dim_time,Duplicate Keys,Medium,4,2024-04-17
74,fact_enrolment_hea,Referential Integrity,Low,7,2024-05-16
75,dim_time,Missing Values,Low,7,2024-10-24
76,fact_enrolment_hea,Outlier Detection,Medium,5,2024-10-15
77,fact_student_term,Invalid Domain,Low,3,2024-01-25
