Institution,Academic_Year,Level,Domicile,Field_of_Study,Enrolments
ATU Donegal,2024,Postgraduate,All,All,910
ATU Galway-Mayo,2024,Postgraduate,All,All,1460
ATU Sligo,2024,Postgraduate,All,All,1735
,2024,Postgraduate,All,All,4100
Dublin City University,2024,Postgraduate,All,All,4715
,2024,Postgraduate,All,All,4715
"Dun Laoghaire Institute of Art, Design and Technology",2024,Postgraduate,All,All,450
,2024,Postgraduate,All,All,450
Dundalk IT,2024,Postgraduate,All,All,525
,2024,Postgraduate,All,All,525
"Mary Immaculate College, Limerick",2024,Postgraduate,All,All,720
,2024,Postgraduate,All,All,720
Maynooth University,2024,Postgraduate,All,All,2720
,2024,Postgraduate,All,All,2720
MTU Cork,2024,Postgraduate,All,All,1625
MTU Kerry,2024,Postgraduate,All,All,260
,2024,Postgraduate,All,All,1885
National College of Art and Design,2024,Postgraduate,All,All,215
,2024,Postgraduate,All,All,215
National College of Ireland,2024,Postgraduate,All,All,3265
,2024,Postgraduate,All,All,3265
Royal College of Surgeons,2024,Postgraduate,All,All,2495
,2024,Postgraduate,All,All,2495
SETU Carlow,2024,Postgraduate,All,All,925
SETU Waterford,2024,Postgraduate,All,All,1345
,2024,Postgraduate,All,All,2265
"St. Angelas College of Home Economics, Sligo",2024,Postgraduate,All,All,315
,2024,Postgraduate,All,All,315
TU Dublin Blanchardstown,2024,Postgraduate,All,All,185
TU Dublin City,2024,Postgraduate,All,All,3040
TU Dublin Tallaght,2024,Postgraduate,All,All,445
,2024,Postgraduate,All,All,3670
TUS Athlone,2024,Postgraduate,All,All,1140
TUS Limerick,2024,Postgraduate,All,All,970
,2024,Postgraduate,All,All,2110
Trinity College Dublin,2024,Postgraduate,All,All,6850
,2024,Postgraduate,All,All,6850
University College Cork,2024,Postgraduate,All,All,7895
,2024,Postgraduate,All,All,7895
University College Dublin,2024,Postgraduate,All,All,12060
,2024,Postgraduate,All,All,12060
University of Galway,2024,Postgraduate,All,All,5345
,2024,Postgraduate,All,All,5345
University of Limerick,2024,Postgraduate,All,All,4930
,2024,Postgraduate,All,All,4930
TOTAL,2024,Postgraduate,All,All,66535
ATU Donegal,2024,Undergraduate,All,All,4420
ATU Galway-Mayo,2024,Undergraduate,All,All,6580
ATU Sligo,2024,Undergraduate,All,All,12240
,2024,Undergraduate,All,All,23240
Dublin City University,2024,Undergraduate,All,All,15175
,2024,Undergraduate,All,All,15175
"Dun Laoghaire Institute of Art, Design and Technology",2024,Undergraduate,All,All,1955
,2024,Undergraduate,All,All,1955
Dundalk IT,2024,Undergraduate,All,All,4715
,2024,Undergraduate,All,All,4715
"Mary Immaculate College, Limerick",2024,Undergraduate,All,All,4170
,2024,Undergraduate,All,All,4170
Maynooth University,2024,Undergraduate,All,All,12840
,2024,Undergraduate,All,All,12840
MTU Cork,2024,Undergraduate,All,All,10340
MTU Kerry,2024,Undergraduate,All,All,3020
,2024,Undergraduate,All,All,13360
National College of Art and Design,2024,Undergraduate,All,All,1305
,2024,Undergraduate,All,All,1305
National College of Ireland,2024,Undergraduate,All,All,2940
,2024,Undergraduate,All,All,2940
Royal College of Surgeons,2024,Undergraduate,All,All,3180
,2024,Undergraduate,All,All,3180
SETU Carlow,2024,Undergraduate,All,All,5980
SETU Waterford,2024,Undergraduate,All,All,7200
,2024,Undergraduate,All,All,13180
"St. Angelas College of Home Economics, Sligo",2024,Undergraduate,All,All,1175
,2024,Undergraduate,All,All,1175
TU Dublin Blanchardstown,2024,Undergraduate,All,All,2610
TU Dublin City,2024,Undergraduate,All,All,13825
TU Dublin Tallaght,2024,Undergraduate,All,All,4920
,2024,Undergraduate,All,All,21355
TUS Athlone,2024,Undergraduate,All,All,4330
TUS Limerick,2024,Undergraduate,All,All,6430
,2024,Undergraduate,All,All,10765
Trinity College Dublin,2024,Undergraduate,All,All,14235
,2024,Undergraduate,All,All,14235
University College Cork,2024,Undergraduate,All,All,17210
,2024,Undergraduate,All,All,17210
University College Dublin,2024,Undergraduate,All,All,22655
,2024,Undergraduate,All,All,22655
University of Galway,2024,Undergraduate,All,All,14745
,2024,Undergraduate,All,All,14745
University of Limerick,2024,Undergraduate,All,All,14135
,2024,Undergraduate,All,All,14135
TOTAL,2024,Undergraduate,All,All,212345
ATU Donegal,2024,All,(Other) EU,All,45
ATU Galway-Mayo,2024,All,(Other) EU,All,190
ATU Sligo,2024,All,(Other) EU,All,275
,2024,All,(Other) EU,All,510
Dublin City University,2024,All,(Other) EU,All,695
,2024,All,(Other) EU,All,695
"Dun Laoghaire Institute of Art, Design and Technology",2024,All,(Other) EU,All,145
,2024,All,(Other) EU,All,145
Dundalk IT,2024,All,(Other) EU,All,205
,2024,All,(Other) EU,All,205
"Mary Immaculate College, Limerick",2024,All,(Other) EU,All,25
,2024,All,(Other) EU,All,25
Maynooth University,2024,All,(Other) EU,All,325
,2024,All,(Other) EU,All,325
MTU Cork,2024,All,(Other) EU,All,215
MTU Kerry,2024,All,(Other) EU,All,35
,2024,All,(Other) EU,All,250
National College of Art and Design,2024,All,(Other) EU,All,40
,2024,All,(Other) EU,All,40
National College of Ireland,2024,All,(Other) EU,All,105
,2024,All,(Other) EU,All,105
Royal College of Surgeons,2024,All,(Other) EU,All,70
,2024,All,(Other) EU,All,70
SETU Carlow,2024,All,(Other) EU,All,180
SETU Waterford,2024,All,(Other) EU,All,85
,2024,All,(Other) EU,All,260
"St. Angelas College of Home Economics, Sligo",2024,All,(Other) EU,All,5
,2024,All,(Other) EU,All,5
TU Dublin Blanchardstown,2024,All,(Other) EU,All,50
TU Dublin City,2024,All,(Other) EU,All,520
TU Dublin Tallaght,2024,All,(Other) EU,All,75
,2024,All,(Other) EU,All,640
TUS Athlone,2024,All,(Other) EU,All,55
TUS Limerick,2024,All,(Other) EU,All,65
,2024,All,(Other) EU,All,125
Trinity College Dublin,2024,All,(Other) EU,All,1625
,2024,All,(Other) EU,All,1625
University College Cork,2024,All,(Other) EU,All,865
,2024,All,(Other) EU,All,865
University College Dublin,2024,All,(Other) EU,All,1625
,2024,All,(Other) EU,All,1625
University of Galway,2024,All,(Other) EU,All,630
,2024,All,(Other) EU,All,630
University of Limerick,2024,All,(Other) EU,All,460
,2024,All,(Other) EU,All,460
TOTAL,2024,All,(Other) EU,All,8610
ATU Donegal,2024,All,Great Britain,All,5
ATU Galway-Mayo,2024,All,Great Britain,All,15
ATU Sligo,2024,All,Great Britain,All,150
,2024,All,Great Britain,All,175
Dublin City University,2024,All,Great Britain,All,55
,2024,All,Great Britain,All,55
"Dun Laoghaire Institute of Art, Design and Technology",2024,All,Great Britain,All,10
,2024,All,Great Britain,All,10
