Student_ID,Institution_Key,Faculty_Key,Level_Key,Domicile_Key,Time_Key,Student_Profile_Key,Entry_Points,Attendance_Rate,Year_of_Study,Progression_Flag,Completion_Flag,Risk_Score
1,1,1,1,1,1,1,342,79.7876155791035,1,1,0,18.0
2,2,2,2,2,2,2,393,85.17543505913294,2,0,0,19.0
3,3,3,2,2,3,3,406,82.2833071814391,1,1,0,23.0
4,4,4,2,1,1,4,422,84.41990823233176,1,1,0,23.0
5,5,5,2,2,5,5,484,70.57489808200587,4,1,1,10.0
6,6,3,2,1,3,3,458,92.31816856544071,2,1,0,24.0
7,7,6,2,2,3,6,472,80.7245288498433,2,1,0,10.0
8,8,7,2,1,1,5,351,85.75346782139043,2,1,0,19.0
9,9,5,2,2,9,7,493,81.67605967754291,2,1,0,19.0
10,9,5,2,2,5,8,281,78.49625550920173,2,0,0,26.0
11,10,2,2,2,1,2,538,80.39413818945864,3,1,0,19.0
12,1,4,2,1,5,9,539,91.2932136161478,2,1,0,10.0
13,2,3,1,2,5,10,440,77.05626090800492,2,1,0,10.0
14,9,6,2,1,3,7,388,86.20454906471551,2,0,0,10.0
15,9,6,1,2,2,1,378,85.60111299897237,1,1,0,18.0
16,11,4,2,2,5,11,483,79.91589024908768,4,1,1,15.0
17,3,2,2,3,17,4,488,78.46434018817442,2,1,0,21.0
18,3,7,2,2,3,5,410,64.5545599296933,2,0,0,38.0
19,12,4,1,2,9,12,318,90.01487046741715,1,1,0,23.0
20,5,5,2,2,2,7,469,95.53197763466828,2,1,0,10.0
21,12,4,2,3,17,6,397,70.21771452494932,1,1,0,24.0
22,5,6,2,2,17,13,439,83.7492784032095,1,1,0,18.0
23,3,1,2,1,9,10,304,87.50102071932297,4,1,1,10.0
24,5,5,2,2,2,7,382,74.03901452642596,2,1,0,10.0
25,1,1,2,2,3,6,472,91.37245561380918,3,1,0,10.0
26,7,2,2,2,26,14,419,73.35091266847179,4,1,0,15.0
27,6,3,2,2,2,15,448,79.63978789196734,3,1,0,10.0
28,8,3,2,2,9,7,385,73.26145520192495,1,1,0,18.0
29,6,7,2,2,17,12,489,81.17959494038763,1,0,0,23.0
30,1,3,2,2,3,7,625,85.28781504624006,1,1,0,27.0
31,4,3,2,2,2,12,284,94.03336895085408,1,0,0,39.0
