"Institute New Combined","Institute","Agriculture, forestry, fisheries and veterinary","Arts and humanities","Business, administration and law","Education","Engineering, manufacturing and construction","Generic programmes and qualifications","Health and welfare","Information and Communication Technologies (ICTs)","Natural sciences, mathematics and statistics","Services","Social sciences, journalism and information","Row_Total"
"Atlantic Technological University","ATU Donegal",270,210,980,70,635,725,935,915,135,455,0,5330
"Atlantic Technological University","ATU Galway-Mayo",250,760,1120,455,1820,25,650,1345,1020,525,65,8040
"Atlantic Technological University","ATU Sligo",0,575,6810,35,2815,10,1075,395,1535,595,130,13975
"Atlantic Technological University_TOTAL",,525,1545,8910,565,5270,760,2660,2655,2690,1570,195,27340
"Dublin City University","Dublin City University",0,2680,4225,4290,1230,65,1915,1465,1790,335,1895,19890
"Dublin City University_TOTAL",,0,2680,4225,4290,1230,65,1915,1465,1790,335,1895,19890
"Dun Laoghaire Institute of Art, Design and Technology","Dun Laoghaire Institute of Art, Design and Technology",0,1495,385,0,0,20,0,160,15,0,335,2410
"Dun Laoghaire Institute of Art, Design and Technology_TOTAL",,0,1495,385,0,0,20,0,160,15,0,335,2410
"Dundalk IT","Dundalk IT",335,520,895,40,1000,0,1230,700,170,230,130,5240
"Dundalk IT_TOTAL",,335,520,895,40,1000,0,1230,700,170,230,130,5240
"Mary Immaculate College, Limerick","Mary Immaculate College, Limerick",0,935,0,3765,0,95,0,0,10,0,85,4890
"Mary Immaculate College, Limerick_TOTAL",,0,935,0,3765,0,95,0,0,10,0,85,4890
"Maynooth University","Maynooth University",0,2890,4850,1510,380,20,310,1045,2140,220,2200,15560
"Maynooth University_TOTAL",,0,2890,4850,1510,380,20,310,1045,2140,220,2200,15560
"Munster Technological University","MTU Cork",165,1320,2635,255,3160,30,815,1075,1385,1105,25,11970
"Munster Technological University","MTU Kerry",215,90,245,0,445,100,1070,150,465,495,0,3280
"Munster Technological University_TOTAL",,380,1410,2875,255,3610,130,1880,1225,1850,1600,25,15245
"National College of Art and Design","National College of Art and Design",0,1325,0,155,0,0,0,40,0,0,0,1520
"National College of Art and Design_TOTAL",,0,1325,0,155,0,0,0,40,0,0,0,1520
"National College of Ireland","National College of Ireland",0,0,2720,235,0,0,0,2950,0,0,300,6205
"National College of Ireland_TOTAL",,0,0,2720,235,0,0,0,2950,0,0,300,6205
"Royal College of Surgeons","Royal College of Surgeons",0,0,0,0,0,0,5670,0,0,0,0,5670
"Royal College of Surgeons_TOTAL",,0,0,0,0,0,0,5670,0,0,0,0,5670
"South East Technological University","SETU Carlow",55,380,1460,140,1090,20,1220,750,290,1010,495,6905
"South East Technological University","SETU Waterford",520,565,2265,160,1360,150,1420,840,515,570,170,8545
"South East Technological University_TOTAL",,575,945,3725,300,2450,170,2640,1590,805,1580,670,15445
"St. Angela's College of Home Economics, Sligo","St. Angelas College of Home Economics, Sligo",0,90,0,855,0,0,415,0,135,0,0,1490
"St. Angela's College of Home Economics, Sligo_TOTAL",,0,90,0,855,0,0,415,0,135,0,0,1490
"Technological University Dublin","TU Dublin Blanchardstown",15,205,620,0,405,0,405,855,0,180,115,2795
"Technological University Dublin","TU Dublin City",0,1945,3980,190,4800,185,1065,1585,1600,1135,375,16865
"Technological University Dublin","TU Dublin Tallaght",0,190,1425,155,795,270,195,775,1450,110,0,5365
"Technological University Dublin_TOTAL",,15,2340,6020,345,6000,460,1670,3210,3050,1425,490,25025
"Technological University of the Shannon","TUS Athlone",165,270,1260,140,865,15,1345,670,410,240,90,5470
"Technological University of the Shannon","TUS Limerick",0,1115,1235,145,2365,105,625,515,480,485,330,7405
"Technological University of the Shannon_TOTAL",,165,1385,2495,285,3230,120,1970,1185,890,725,420,12875
"Trinity College Dublin","Trinity College Dublin",0,4035,2720,490,1585,315,5315,1185,2950,15,2490,21085
"Trinity College Dublin_TOTAL",,0,4035,2720,490,1585,315,5315,1185,2950,15,2490,21085
"University College Cork","University College Cork",125,3885,3930,910,1690,0,7040,1450,3435,140,2495,25100
"University College Cork_TOTAL",,125,3885,3930,910,1690,0,7040,1450,3435,140,2495,25100
"University College Dublin","University College Dublin",2640,3860,6340,2125,3225,285,6980,1590,3960,150,3560,34715
"University College Dublin_TOTAL",,2640,3860,6340,2125,3225,285,6980,1590,3960,150,3560,34715
"University of Galway","University of Galway",175,3930,3880,560,1895,90,3890,780,2930,90,1870,20095
"University of Galway_TOTAL",,175,3930,3880,560,1895,90,3890,780,2930,90,1870,20095
"University of Limerick","University of Limerick",0,2200,4270,1865,3095,385,2725,1275,1700,435,1120,19065
"University of Limerick_TOTAL",,0,2200,4270,1865,3095,385,2725,1275,1700,435,1120,19065
"TOTAL","TOTAL",4940,35485,58240,18565,34650,2910,46315,22495,28510,8510,18270,278880
