"Institute New Combined","Institute","Postgraduate","Undergraduate","Row_Total"
"Atlantic Technological University","ATU Donegal",910,4420,5330
"Atlantic Technological University","ATU Galway-Mayo",1460,6580,8040
"Atlantic Technological University","ATU Sligo",1735,12240,13975
"Atlantic Technological University_TOTAL",,4100,23240,27340
"Dublin City University","Dublin City University",4715,15175,19890
"Dublin City University_TOTAL",,4715,15175,19890
"Dun Laoghaire Institute of Art, Design and Technology","Dun Laoghaire Institute of Art, Design and Technology",450,1955,2410
"Dun Laoghaire Institute of Art, Design and Technology_TOTAL",,450,1955,2410
"Dundalk IT","Dundalk IT",525,4715,5240
"Dundalk IT_TOTAL",,525,4715,5240
"Mary Immaculate College, Limerick","Mary Immaculate College, Limerick",720,4170,4890
"Mary Immaculate College, Limerick_TOTAL",,720,4170,4890
"Maynooth University","Maynooth University",2720,12840,15560
"Maynooth University_TOTAL",,2720,12840,15560
"Munster Technological University","MTU Cork",1625,10340,11970
"Munster Technological University","MTU Kerry",260,3020,3280
"Munster Technological University_TOTAL",,1885,13360,15245
"National College of Art and Design","National College of Art and Design",215,1305,1520
"National College of Art and Design_TOTAL",,215,1305,1520
"National College of Ireland","National College of Ireland",3265,2940,6205
"National College of Ireland_TOTAL",,3265,2940,6205
"Royal College of Surgeons","Royal College of Surgeons",2495,3180,5670
"Royal College of Surgeons_TOTAL",,2495,3180,5670
"South East Technological University","SETU Carlow",925,5980,6905
"South East Technological University","SETU Waterford",1345,7200,8545
"South East Technological University_TOTAL",,2265,13180,15445
"St. Angela's College of Home Economics, Sligo","St. Angelas College of Home Economics, Sligo",315,1175,1490
"St. Angela's College of Home Economics, Sligo_TOTAL",,315,1175,1490
"Technological University Dublin","TU Dublin Blanchardstown",185,2610,2795
"Technological University Dublin","TU Dublin City",3040,13825,16865
"Technological University Dublin","TU Dublin Tallaght",445,4920,5365
"Technological University Dublin_TOTAL",,3670,21355,25025
"Technological University of the Shannon","TUS Athlone",1140,4330,5470
"Technological University of the Shannon","TUS Limerick",970,6430,7405
"Technological University of the Shannon_TOTAL",,2110,10765,12875
"Trinity College Dublin","Trinity College Dublin",6850,14235,21085
"Trinity College Dublin_TOTAL",,6850,14235,21085
"University College Cork","University College Cork",7895,17210,25100
"University College Cork_TOTAL",,7895,17210,25100
"University College Dublin","University College Dublin",12060,22655,34715
"University College Dublin_TOTAL",,12060,22655,34715
"University of Galway","University of Galway",5345,14745,20095
"University of Galway_TOTAL",,5345,14745,20095
"University of Limerick","University of Limerick",4930,14135,19065
"University of Limerick_TOTAL",,4930,14135,19065
"TOTAL","TOTAL",66535,212345,278880
