"Institute New Combined","Institute","(Other) EU","Great Britain","Ireland","Non-EU","Northern Ireland","Unknown","Row_Total"
"Atlantic Technological University","ATU Donegal",45,5,4185,1015,75,0,5330
"Atlantic Technological University","ATU Galway-Mayo",190,15,7495,325,15,0,8040
"Atlantic Technological University","ATU Sligo",275,150,12705,540,300,0,13975
"Atlantic Technological University_TOTAL",,510,175,24385,1885,390,0,27340
"Dublin City University","Dublin City University",695,55,17605,1490,45,5,19890
"Dublin City University_TOTAL",,695,55,17605,1490,45,5,19890
"Dun Laoghaire Institute of Art, Design and Technology","Dun Laoghaire Institute of Art, Design and Technology",145,10,2130,120,5,0,2410
"Dun Laoghaire Institute of Art, Design and Technology_TOTAL",,145,10,2130,120,5,0,2410
"Dundalk IT","Dundalk IT",205,5,4405,405,220,0,5240
"Dundalk IT_TOTAL",,205,5,4405,405,220,0,5240
"Mary Immaculate College, Limerick","Mary Immaculate College, Limerick",25,0,4775,85,5,0,4890
"Mary Immaculate College, Limerick_TOTAL",,25,0,4775,85,5,0,4890
"Maynooth University","Maynooth University",325,25,14250,925,30,0,15560
"Maynooth University_TOTAL",,325,25,14250,925,30,0,15560
"Munster Technological University","MTU Cork",215,25,11410,310,10,0,11970
"Munster Technological University","MTU Kerry",35,5,2980,255,5,0,3280
"Munster Technological University_TOTAL",,250,35,14390,560,15,0,15245
"National College of Art and Design","National College of Art and Design",40,0,1425,50,5,0,1520
"National College of Art and Design_TOTAL",,40,0,1425,50,5,0,1520
"National College of Ireland","National College of Ireland",105,0,3670,2420,0,0,6205
"National College of Ireland_TOTAL",,105,0,3670,2420,0,0,6205
"Royal College of Surgeons","Royal College of Surgeons",70,55,3335,2190,20,0,5670
"Royal College of Surgeons_TOTAL",,70,55,3335,2190,20,0,5670
"South East Technological University","SETU Carlow",180,30,6250,395,45,5,6905
"South East Technological University","SETU Waterford",85,5,8080,360,10,0,8545
"South East Technological University_TOTAL",,260,35,14335,755,55,5,15445
"St. Angela's College of Home Economics, Sligo","St. Angelas College of Home Economics, Sligo",5,0,1480,0,5,0,1490
"St. Angela's College of Home Economics, Sligo_TOTAL",,5,0,1480,0,5,0,1490
"Technological University Dublin","TU Dublin Blanchardstown",50,5,2640,100,0,0,2795
"Technological University Dublin","TU Dublin City",520,95,15240,1005,5,0,16865
"Technological University Dublin","TU Dublin Tallaght",75,40,4910,330,5,5,5365
"Technological University Dublin_TOTAL",,640,140,22790,1435,15,5,25025
"Technological University of the Shannon","TUS Athlone",55,0,4890,515,5,0,5470
"Technological University of the Shannon","TUS Limerick",65,5,6880,445,5,0,7405
"Technological University of the Shannon_TOTAL",,125,10,11770,960,10,0,12875
"Trinity College Dublin","Trinity College Dublin",1625,380,14140,4630,310,0,21085
"Trinity College Dublin_TOTAL",,1625,380,14140,4630,310,0,21085
"University College Cork","University College Cork",865,155,20515,3500,65,0,25100
"University College Cork_TOTAL",,865,155,20515,3500,65,0,25100
"University College Dublin","University College Dublin",1625,150,26730,6025,170,15,34715
"University College Dublin_TOTAL",,1625,150,26730,6025,170,15,34715
"University of Galway","University of Galway",630,75,16030,3170,185,0,20095
"University of Galway_TOTAL",,630,75,16030,3170,185,0,20095
"University of Limerick","University of Limerick",460,50,16185,2340,30,0,19065
"University of Limerick_TOTAL",,460,50,16185,2340,30,0,19065
"TOTAL","TOTAL",8610,1365,234340,32940,1585,40,278880
