Institution_Key,Institution,Institution_Type
1,Technological University of the Shannon,Technological University
2,Maynooth University,University/College
3,Trinity College Dublin,University/College
4,University College Cork,University/College
5,University of Galway,University/College
6,University of Limerick,University/College
7,Atlantic Technological University,Technological University
8,South East Technological University,Technological University
9,University College Dublin,University/College
10,National College of Art and Design,University/College
11,Munster Technological University,Technological University
12,TU Dublin,Technological University
13,Dublin City University,University/College
14,Royal College of Surgeons in Ireland,University/College
15,Mary Immaculate College,University/College
16,St Patrick's Pontifical University,University/College
17,Dun Laoghaire Institute of Art Design and Technology,University/College
