Usage_ID,Report_Name,Viewer_Role,Workspace,View_Date,Views
1,Faculty Performance,Dean,Certified,2024-03-15,3
2,Institutional Benchmark,Executive,Certified,2024-04-19,5
3,Access & Equity,Executive,Self-Service,2024-01-06,1
4,Institutional Benchmark,Executive,Self-Service,2024-02-09,4
5,Institutional Benchmark,Faculty Analyst,Self-Service,2024-12-02,2
6,Student Success & Risk,Planning Office,Certified,2024-07-23,3
7,Access & Equity,Planning Office,Self-Service,2024-12-30,3
8,Access & Equity,Student Services,Executive,2024-05-24,1
9,Access & Equity,Executive,Executive,2024-11-02,1
10,Institutional Benchmark,Faculty Analyst,Self-Service,2024-01-02,7
11,Faculty Performance,Dean,Self-Service,2024-06-06,3
12,Access & Equity,Dean,Certified,2024-11-01,4
13,Institutional Benchmark,Student Services,Certified,2024-08-15,2
14,Student Success & Risk,Student Services,Certified,2024-07-17,8
15,Faculty Performance,Executive,Certified,2024-09-08,4
16,Student Success & Risk,Executive,Certified,2024-03-23,3
17,Faculty Performance,Dean,Self-Service,2024-02-14,3
18,Institutional Benchmark,Dean,Self-Service,2024-07-17,4
19,Executive Enrolment Dashboard,Dean,Certified,2024-06-23,5
20,Faculty Performance,Dean,Certified,2024-02-02,3
21,Student Success & Risk,Planning Office,Certified,2024-12-19,5
22,Institutional Benchmark,Executive,Certified,2024-02-04,4
23,Faculty Performance,Executive,Certified,2024-07-10,5
24,Executive Enrolment Dashboard,Dean,Executive,2024-03-25,6
25,Executive Enrolment Dashboard,Faculty Analyst,Certified,2024-12-09,3
26,Access & Equity,Dean,Certified,2024-04-10,4
27,Access & Equity,Student Services,Certified,2024-11-11,3
28,Student Success & Risk,Faculty Analyst,Self-Service,2024-07-27,4
29,Faculty Performance,Student Services,Self-Service,2024-01-29,3
30,Faculty Performance,Faculty Analyst,Certified,2024-09-30,4
31,Access & Equity,Student Services,Executive,2024-07-04,5
32,Faculty Performance,Dean,Self-Service,2024-02-17,9
33,Faculty Performance,Dean,Certified,2024-09-23,2
34,Executive Enrolment Dashboard,Faculty Analyst,Certified,2024-06-18,4
35,Access & Equity,Student Services,Certified,2024-05-25,4
36,Institutional Benchmark,Planning Office,Certified,2024-01-16,4
37,Access & Equity,Faculty Analyst,Self-Service,2024-10-23,3
38,Institutional Benchmark,Faculty Analyst,Certified,2024-02-12,7
39,Executive Enrolment Dashboard,Executive,Certified,2024-12-12,2
40,Student Success & Risk,Faculty Analyst,Certified,2024-10-13,4
41,Faculty Performance,Planning Office,Certified,2024-10-10,6
42,Executive Enrolment Dashboard,Dean,Executive,2024-02-20,6
43,Faculty Performance,Student Services,Certified,2024-01-27,4
44,Student Success & Risk,Executive,Certified,2024-01-09,4
45,Student Success & Risk,Student Services,Self-Service,2024-11-11,4
46,Executive Enrolment Dashboard,Dean,Certified,2024-09-08,5
47,Student Success & Risk,Faculty Analyst,Certified,2024-08-20,3
48,Institutional Benchmark,Planning Office,Certified,2024-08-06,2
49,Student Success & Risk,Executive,Certified,2024-02-26,7
50,Faculty Performance,Planning Office,Certified,2024-06-23,4
51,Faculty Performance,Planning Office,Certified,2024-04-23,6
52,Faculty Performance,Planning Office,Certified,2024-08-05,5
53,Faculty Performance,Planning Office,Self-Service,2024-09-02,4
54,Institutional Benchmark,Dean,Certified,2024-03-08,4
55,Access & Equity,Planning Office,Executive,2024-11-02,3
56,Executive Enrolment Dashboard,Planning Office,Certified,2024-02-27,3
57,Faculty Performance,Dean,Self-Service,2024-10-30,3
58,Student Success & Risk,Student Services,Self-Service,2024-11-10,3
59,Faculty Performance,Dean,Certified,2024-03-16,3
60,Student Success & Risk,Faculty Analyst,Self-Service,2024-10-29,4
61,Student Success & Risk,Dean,Self-Service,2024-04-20,6
62,Faculty Performance,Student Services,Certified,2024-04-21,4
63,Institutional Benchmark,Faculty Analyst,Executive,2024-08-09,3
64,Student Success & Risk,Faculty Analyst,Certified,2024-07-24,6
65,Student Success & Risk,Executive,Certified,2024-03-12,5
66,Faculty Performance,Planning Office,Self-Service,2024-12-16,6
67,Student Success & Risk,Faculty Analyst,Certified,2024-01-02,8
68,Student Success & Risk,Faculty Analyst,Self-Service,2024-11-30,4
69,Faculty Performance,Student Services,Executive,2024-07-07,3
70,Faculty Performance,Faculty Analyst,Executive,2024-02-09,3
71,Executive Enrolment Dashboard,Student Services,Certified,2024-06-19,5
72,Institutional Benchmark,Planning Office,Executive,2024-02-17,4
73,Institutional Benchmark,Executive,Certified,2024-07-18,3
74,Student Success & Risk,Executive,Certified,2024-02-26,4
75,Institutional Benchmark,Planning Office,Certified,2024-07-14,10
76,Student Success & Risk,Planning Office,Self-Service,2024-01-12,2
77,Executive Enrolment Dashboard,Dean,Certified,2024-11-19,6
78,Faculty Performance,Faculty Analyst,Self-Service,2024-06-27,8
79,Faculty Performance,Faculty Analyst,Certified,2024-03-14,5
80,Faculty Performance,Faculty Analyst,Certified,2024-01-29,2
81,Institutional Benchmark,Student Services,Executive,2024-04-01,3
82,Executive Enrolment Dashboard,Dean,Certified,2024-10-11,4
83,Institutional Benchmark,Faculty Analyst,Certified,2024-12-04,10
84,Institutional Benchmark,Student Services,Self-Service,2024-04-16,3
85,Executive Enrolment Dashboard,Student Services,Certified,2024-09-03,2
